Date,Open,High,Low,Close,Adj Close,Volume
2007-03-29,163.899994,163.949997,163.899994,163.949997,163.949997,0
2007-03-30,163.949997,163.949997,163.300003,163.300003,163.300003,0
2007-04-02,163.860001,163.860001,163.860001,163.860001,163.860001,0
2007-04-03,163.860001,164.240005,163.860001,164.240005,164.240005,0
2007-04-04,164.240005,164.240005,164.050003,164.050003,164.050003,0
2007-04-05,164.050003,164.190002,164.050003,164.190002,164.190002,0
2007-04-06,164.190002,164.190002,164.190002,164.190002,164.190002,0
2007-04-09,164.190002,164.190002,164.190002,164.190002,164.190002,0
2007-04-10,164.869995,164.869995,164.869995,164.869995,164.869995,0
2007-04-11,164.869995,164.869995,164.809998,164.809998,164.809998,0
2007-04-12,164.809998,165.360001,164.809998,165.360001,165.360001,0
2007-04-13,165.360001,166.309998,165.360001,166.309998,166.309998,0
2007-04-16,166.309998,166.740005,166.309998,166.740005,166.740005,0
2007-04-17,166.419998,166.419998,166.419998,166.419998,166.419998,0
2007-04-18,166.419998,167.220001,166.419998,167.220001,167.220001,0
2007-04-19,167.220001,167.220001,166.960007,166.960007,166.960007,0
2007-04-20,166.960007,167.110001,166.960007,167.110001,167.110001,0
2007-04-23,166.440002,166.440002,166.440002,166.440002,166.440002,0
2007-04-24,166.440002,166.750000,166.440002,166.750000,166.750000,0
2007-04-25,166.750000,166.910004,166.750000,166.910004,166.910004,0
2007-04-26,166.910004,166.910004,166.570007,166.570007,166.570007,0
2007-04-27,166.570007,166.589996,166.570007,166.589996,166.589996,0
2007-04-30,166.529999,166.529999,166.529999,166.529999,166.529999,0
2007-05-01,166.529999,166.529999,166.529999,166.529999,166.529999,0
2007-05-02,165.710007,165.710007,165.710007,165.710007,165.710007,0
2007-05-03,165.710007,166.240005,165.710007,166.240005,166.240005,0
2007-05-04,166.240005,166.240005,165.809998,165.809998,165.809998,0
2007-05-07,166.820007,166.820007,166.820007,166.820007,166.820007,0
2007-05-08,166.820007,166.820007,165.830002,165.830002,165.830002,0
2007-05-09,165.830002,165.830002,165.529999,165.529999,165.529999,0
2007-05-10,165.529999,165.710007,165.529999,165.710007,165.710007,0
2007-05-11,165.710007,165.710007,164.940002,164.940002,164.940002,0
2007-05-14,166.000000,166.000000,166.000000,166.000000,166.000000,0
2007-05-15,166.000000,166.000000,165.610001,165.610001,165.610001,0
2007-05-16,165.610001,166.429993,165.610001,166.429993,166.429993,0
2007-05-17,166.429993,166.429993,166.429993,166.429993,166.429993,0
2007-05-18,165.009995,165.009995,165.009995,165.009995,165.009995,0
2007-05-21,164.669998,164.669998,164.669998,164.669998,164.669998,0
2007-05-22,164.669998,164.669998,164.619995,164.619995,164.619995,0
2007-05-23,164.619995,164.690002,164.619995,164.690002,164.690002,0
2007-05-24,164.690002,168.410004,164.690002,168.410004,168.410004,0
2007-05-25,168.410004,168.550003,168.410004,168.550003,168.550003,0
2007-05-28,168.550003,168.550003,168.550003,168.550003,168.550003,0
2007-05-29,169.250000,169.250000,169.250000,169.250000,169.250000,0
2007-05-30,169.250000,169.250000,168.190002,168.190002,168.190002,0
2007-05-31,168.190002,168.559998,168.190002,168.559998,168.559998,0
2007-06-01,168.559998,168.559998,168.309998,168.309998,168.309998,0
2007-06-04,168.649994,168.649994,168.649994,168.649994,168.649994,0
2007-06-05,168.649994,169.339996,168.649994,169.339996,169.339996,0
2007-06-06,169.339996,169.429993,169.339996,169.429993,169.429993,0
2007-06-07,169.429993,169.429993,168.729996,168.729996,168.729996,0
2007-06-08,168.729996,168.729996,168.729996,167.179993,167.179993,0
2007-06-11,167.179993,167.259995,167.179993,167.259995,167.259995,0
2007-06-12,167.259995,167.259995,166.970001,166.970001,166.970001,0
2007-06-13,166.970001,166.970001,166.220001,166.220001,166.220001,0
2007-06-14,166.220001,166.740005,166.220001,166.740005,166.740005,0
2007-06-15,166.740005,166.740005,166.619995,166.619995,166.619995,0
2007-06-18,166.619995,167.789993,166.619995,167.789993,167.789993,0
2007-06-19,167.789993,167.789993,167.759995,167.759995,167.759995,0
2007-06-20,167.759995,168.270004,167.759995,168.270004,168.270004,0
2007-06-21,168.270004,168.270004,167.660004,167.660004,167.660004,0
2007-06-22,167.660004,168.259995,167.660004,168.259995,168.259995,0
2007-06-25,168.259995,168.389999,168.259995,168.389999,168.389999,0
2007-06-26,168.389999,168.520004,168.389999,168.520004,168.520004,0
2007-06-27,168.520004,168.520004,168.399994,168.399994,168.399994,0
2007-06-28,168.399994,168.399994,168.399994,168.399994,168.399994,0
2007-06-29,168.399994,168.779999,168.399994,168.779999,168.779999,0
2007-07-02,169.919998,169.919998,169.919998,169.919998,169.919998,0
2007-07-03,169.919998,170.250000,169.919998,170.250000,170.250000,0
2007-07-04,170.250000,170.250000,170.179993,170.179993,170.179993,0
2007-07-05,170.179993,170.619995,170.179993,170.619995,170.619995,0
2007-07-06,170.619995,170.619995,169.979996,169.979996,169.979996,0
2007-07-09,170.360001,170.360001,170.360001,170.360001,170.360001,0
2007-07-10,170.360001,170.580002,170.360001,170.580002,170.580002,0
2007-07-11,170.580002,172.009995,170.580002,172.009995,172.009995,0
2007-07-12,172.009995,172.669998,172.009995,172.669998,172.669998,0
2007-07-13,172.669998,172.669998,172.059998,172.059998,172.059998,0
2007-07-16,172.600006,172.600006,172.600006,172.600006,172.600006,0
2007-07-17,172.600006,172.600006,172.139999,172.139999,172.139999,0
2007-07-18,172.139999,172.470001,172.139999,172.470001,172.470001,0
2007-07-19,172.470001,172.600006,172.470001,172.600006,172.600006,0
2007-07-20,172.600006,172.600006,172.210007,172.210007,172.210007,0
2007-07-23,172.559998,172.559998,172.559998,172.559998,172.559998,0
2007-07-24,172.559998,172.639999,172.559998,172.639999,172.639999,0
2007-07-25,172.639999,172.639999,171.539993,171.539993,171.539993,0
2007-07-26,171.539993,171.539993,171.240005,171.240005,171.240005,0
2007-07-27,171.240005,171.240005,170.449997,170.449997,170.449997,0
2007-07-30,170.759995,170.759995,170.759995,170.759995,170.759995,0
2007-07-31,170.759995,171.020004,170.759995,171.020004,171.020004,0
2007-08-01,171.020004,171.020004,170.460007,170.460007,170.460007,0
2007-08-02,170.460007,170.660004,170.460007,170.660004,170.660004,0
2007-08-03,170.660004,170.979996,170.660004,170.979996,170.979996,0
2007-08-06,172.250000,172.250000,172.250000,172.250000,172.250000,0
2007-08-07,172.250000,172.250000,172.080002,172.080002,172.080002,0
2007-08-08,172.080002,172.080002,171.949997,171.949997,171.949997,0
2007-08-09,171.949997,171.949997,171.440002,171.440002,171.440002,0
2007-08-10,171.440002,171.440002,170.389999,170.389999,170.389999,0
2007-08-13,170.470001,170.470001,170.470001,170.470001,170.470001,0
2007-08-14,170.470001,170.470001,168.770004,168.770004,168.770004,0
2007-08-15,168.770004,168.770004,167.449997,167.449997,167.449997,0
2007-08-16,167.449997,167.449997,166.210007,166.210007,166.210007,0
2007-08-17,166.210007,166.789993,166.210007,166.789993,166.789993,0
2007-08-20,167.679993,167.679993,167.679993,167.679993,167.679993,0
2007-08-21,167.679993,167.679993,167.509995,167.509995,167.509995,0
2007-08-22,167.509995,167.509995,167.399994,167.399994,167.399994,0
2007-08-23,167.399994,168.820007,167.399994,168.820007,168.820007,0
2007-08-24,168.820007,169.080002,168.820007,169.080002,169.080002,0
2007-08-27,169.770004,169.770004,169.770004,169.770004,169.770004,0
2007-08-28,169.770004,169.770004,169.669998,169.669998,169.669998,0
